;Gasto total (millones de euros);Gasto por persona y día (euros)
   (110) Francia;5,84;125,74
   (115) Italia;...;...
   (125) Reino Unido;17,23;126,57
   (126) Alemania;99,49;142,26
   (132) Suiza;4,75;171,88
   Bélgica, Luxemburgo y Países Bajos;8,65;169,75
   Países nórdicos;...;...
   Resto del mundo;28,57;139,59
2020M01;;
   TOTAL;167,3;92,02
   ESPAÑA (Otras CCAA);60,18;60,8
   EXTRANJERO;107,12;129,33
   (110) Francia;...;...
   (115) Italia;...;...
   (125) Reino Unido;6,86;125,1
   (126) Alemania;55,21;113,89
   (132) Suiza;1,74;117,42
   Bélgica, Luxemburgo y Países Bajos;6,11;160,94
   Países nórdicos;...;...
   Resto del mundo;27,82;199,96
2019M12;;
   TOTAL;192,11;113,14
   ESPAÑA (Otras CCAA);49,39;74,24
   EXTRANJERO;142,72;138,2
   (110) Francia;11,77;112,34
   (115) Italia;5,65;75,89
   (125) Reino Unido;11,62;131,46
   (126) Alemania;65,68;140,12
   (132) Suiza;3,13;144,03
   Bélgica, Luxemburgo y Países Bajos;5,39;170,28
   Países nórdicos;...;...
   Resto del mundo;32,94;173,64
2019M11;;
   TOTAL;234,39;116,01
   ESPAÑA (Otras CCAA);46,18;85,17
   EXTRANJERO;188,21;127,32
   (110) Francia;6,98;117,2
   (115) Italia;6,99;82,87
   (125) Reino Unido;16,67;75,97
   (126) Alemania;108,54;136,87
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;7,06;136,61
   Países nórdicos;8,42;169,93
   Resto del mundo;28,8;149,92
2019M10;;
   TOTAL;1.391,74;144,96
   ESPAÑA (Otras CCAA);94,74;86,26
   EXTRANJERO;1.297,01;152,54
   (110) Francia;61,86;155,25
   (115) Italia;25,49;128,06
   (125) Reino Unido;332,08;137,99
   (126) Alemania;485,66;146,64
   (132) Suiza;45,06;149,8
   Bélgica, Luxemburgo y Países Bajos;71,28;176,31
   Países nórdicos;87,07;160,29
   Resto del mundo;188,49;200,87
2019M09;;
   TOTAL;2.334,70;152,43
   ESPAÑA (Otras CCAA);206,92;90,24
   EXTRANJERO;2.127,78;163,38
   (110) Francia;96,74;151,72
   (115) Italia;97,31;132,15
   (125) Reino Unido;592,34;150,64
   (126) Alemania;638,48;162,67
   (132) Suiza;65,23;153,56
   Bélgica, Luxemburgo y Países Bajos;143,9;161,91
   Países nórdicos;120,5;169,51
   Resto del mundo;373,27;211,17
2019M08;;
   TOTAL;3.170,92;154,16
   ESPAÑA (Otras CCAA);373,76;95,98
   EXTRANJERO;2.797,16;167,74
   (110) Francia;190,51;149,77
   (115) Italia;216,86;164,92
   (125) Reino Unido;754,86;163,22
   (126) Alemania;683,86;151,12
   (132) Suiza;72,36;164,97
   Bélgica, Luxemburgo y Países Bajos;203,12;176,2
   Países nórdicos;131,92;183,4
   Resto del mundo;543,69;206,91
2019M07;;
   TOTAL;3.179,49;161,59
   ESPAÑA (Otras CCAA);293,75;106,62
   EXTRANJERO;2.885,74;170,54
   (110) Francia;167,45;147,99
   (115) Italia;197,15;172,94
   (125) Reino Unido;754,63;164,25
   (126) Alemania;699,66;154,75
   (132) Suiza;115,51;151,84
   Bélgica, Luxemburgo y Países Bajos;222,97;173,93
   Países nórdicos;226,39;171,11
   Resto del mundo;501,99;231,51
2019M06;;
   TOTAL;2.349,22;151,89
   ESPAÑA (Otras CCAA);202,35;103,31
   EXTRANJERO;2.146,86;158,94
   (110) Francia;94,22;155,47
   (115) Italia;84,79;143,74
